file,target_field,present
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_engine.jsonl,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_engine.jsonl,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_engine.jsonl,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_engine.jsonl,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_engine.jsonl,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_engine.jsonl,timestamp,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_events.jsonl,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_events.jsonl,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_events.jsonl,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_events.jsonl,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_events.jsonl,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_events.jsonl,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_events.jsonl,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_events.jsonl,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_events.jsonl,timestamp,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_supervisor_events.jsonl,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_supervisor_events.jsonl,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_supervisor_events.jsonl,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_supervisor_events.jsonl,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_supervisor_events.jsonl,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_supervisor_events.jsonl,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_supervisor_events.jsonl,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_supervisor_events.jsonl,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_supervisor_events.jsonl,timestamp,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocation.json,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocation.json,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocation.json,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocation.json,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocation.json,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocation.json,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocation.json,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CAPITAL_ALLOCATOR_V1_20260303_172932\capital_allocation.json,exit,0
