file,source_kind,records_sampled,field_count,score,matched_fields
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUAL_PID_ROOTCAUSE_LIVE_V1_20260305_213827\state_tree.csv,csv,15,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_CERT_TEST_V1_20260305_115528\capture\pid_samples_A_TASK_ONLY.csv,csv,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_ERADICATE_V1_20260305_134609\restore_extract\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\createprocess_trap.jsonl,jsonl,13,7,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_ERADICATE_V1_20260305_134609\restore_extract\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\meta_events.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_ERADICATE_V1_20260305_134609\restore_extract\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\shadow_plans.jsonl,jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_ERADICATE_V1_20260305_134609\restore_extract\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\sitecustomize_loaded.jsonl,jsonl,6,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_ERADICATE_V1_20260305_134609\restore_extract\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\supervisor_events.jsonl,jsonl,25,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_ERADICATE_V1_20260305_134609\restore_extract\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\supervisor_events.v3.jsonl,jsonl,25,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\logs\createprocess_trap.jsonl,jsonl,13,7,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\logs\meta_events.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\logs\shadow_plans.jsonl,jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\logs\sitecustomize_loaded.jsonl,jsonl,6,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\logs\supervisor_events.jsonl,jsonl,25,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\logs\supervisor_events.v3.jsonl,jsonl,25,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\proc\proc_sample_120s.csv,csv,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_INSTITUTIONAL_FIX_20260305_091332\logs\createprocess_trap.jsonl,jsonl,13,7,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_INSTITUTIONAL_FIX_20260305_091332\logs\meta_events.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_INSTITUTIONAL_FIX_20260305_091332\logs\sitecustomize_loaded.jsonl,jsonl,6,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_INSTITUTIONAL_FIX_20260305_091332\logs\supervisor_events.jsonl,jsonl,25,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_INSTITUTIONAL_FIX_20260305_091332\logs\supervisor_events.v3.jsonl,jsonl,25,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_INSTITUTIONAL_FIX_V4_1_20260305_112459\capture\pid_samples.csv,csv,1,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_INSTITUTIONAL_FIX_V4_20260305_112127\capture\pid_samples.csv,csv,1,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_SPAWN_TRAP_CANON_V2_20260304_233451\meta_events.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_SPAWN_TRAP_CANON_V2_20260304_233451\sitecustomize_loaded.jsonl,jsonl,3,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ECT_V1_20260304_111832\audit\report\ect_report.json,json,1,6,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_RUNTIME_V1_20260305_202507\audit\recent_modified_files.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_RUNTIME_V1_20260305_202507\runtime\logs_inventory.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_RUNTIME_V1_20260305_202507\runtime\state_tree.csv,csv,14,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_RUNTIME_V1_20260305_202507__STAGING\audit\recent_modified_files.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_RUNTIME_V1_20260305_202507__STAGING\runtime\logs_inventory.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_RUNTIME_V1_20260305_202507__STAGING\runtime\state_tree.csv,csv,14,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_SNAPSHOT_20260306_175631\CODE_FILES.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_SNAPSHOT_20260306_175631\FULL_FILE_TREE.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_SNAPSHOT_20260306_175631\LOG_FILES.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_SNAPSHOT_20260306_175631\OPS_FILES.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_SNAPSHOT_20260306_175631\RUNTIME_FILES.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\ENTERPRISE_FORENSIC_SNAPSHOT_20260306_175631\VALIDATION_FILES.csv,csv,4,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\config_scrubbed\configs\profiles\_ARCHIVE\paper2.profile.json,json,1,31,1,entry
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\config_scrubbed\configs\profiles\paper.profile.json,json,1,31,1,entry
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\config_scrubbed\configs\profiles\shadow.profile.json,json,1,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\HASHES_SHA256.csv,csv,18,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\logs_tail\meta_engine.jsonl,jsonl,25,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\logs_tail\meta_events.20260302_132713.bak.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\logs_tail\meta_events.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\logs_tail\shadow_plans.jsonl,jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_131810\MANIFEST.csv,csv,18,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\config_scrubbed\configs\profiles\_ARCHIVE\paper2.profile.json,json,1,31,1,entry
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\config_scrubbed\configs\profiles\paper.profile.json,json,1,31,1,entry
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\config_scrubbed\configs\profiles\shadow.profile.json,json,1,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\HASHES_SHA256.csv,csv,18,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\logs_tail\meta_engine.jsonl,jsonl,25,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\logs_tail\meta_events.20260302_132713.bak.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\logs_tail\meta_events.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\logs_tail\shadow_plans.jsonl,jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\EVIDENCE_PAPER_20260303_132138\MANIFEST.csv,csv,18,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\IMPORT_CRASH_TRIAGE_20260304_084722\audit\tree\tbot_file_tree.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\createprocess_trap.jsonl,jsonl,13,7,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\meta_events.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\shadow_plans.jsonl,jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\sitecustomize_loaded.jsonl,jsonl,6,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\supervisor_events.jsonl,jsonl,25,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\supervisor_events.v3.jsonl,jsonl,25,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\LEDGER_EXPECTANCY_SIDECAR_V1_20260303_170540\expectancy.json,json,1,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\LIVE_DUALPID_CAPTURE_NOW_V1_20260305_223044\live_target_processes.csv,csv,2,4,0,
