file,issue,count
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\ops\gate_state_20260227.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\ops\gate_state_20260228.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\ops\gate_state_20260302.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\ops\gate_state_20260303.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\ops\gate_state_20260304.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\process_guard.jsonl,missing_r_value,70
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\sitecustomize_loaded.jsonl,missing_r_value,6
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\supervisor_events.jsonl,missing_r_value,32
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\supervisor_events.v3.jsonl,missing_r_value,1247
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs_inventory.csv,missing_r_value,886
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\boot_guard.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\kpi\paper_kpi_latest.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\kpi\trades_latest.csv,missing_r_value,1
